 1. Woraus besteht das Feuerwehrkommando?;Feuerwehrkommandant, Feuerwehrkommandantstellvertreter, Leiter des Verwaltungsdienstes;"Zugskommandant, Zugtruppkommandant, Gruppenkommandant";Feuerwehrkommandant, Zugskommandant, Truppführer
 2. Bei Kohlenstoffdioxid handelt es sich um ein….?;… farb- und geruchsloses Gas;… hellgelbes und starkriechendes Gas;durchsichtiges und leichtes Gas
 3. Mit welchem Kommmando wird bei einem Einsatz ein Rückzug angeordnet?;„Alle Mann – zurück!“;"Das Ganze auf mein Kommando. Rückzug";"Rückzug"
 4. Welche Voraussetzungen sind für eine Verbrennungerforderlich?;Brennbarer Stoff, Sauerstoff, Wärme (Zündenergie),Reaktionsbereitschaft, „richtiges“ Mischungsverhältnis;Licht, O2, Brennbares Material, ,Reaktionsbereitschaft, „richtiges“ Mischungsverhältnis;Brennbarer Stoff, CO2, Wärme (Zündenergie),Reaktionsbereitschaft, „richtiges“ Mischungsverhältnis
 5. Was muss die Alarmmeldung zu einem Notrufträger enthalten?;Wer spricht? Was ist passiert? Wo wird Hilfe benötigt? Wie (Hinweis auf besondere Umstände)?;Die 5 V Fragen;Wieso, Woher, Wie groß, Wie warm
 6. Aus welchen Teilen besteht die Einsatzbekleidung eines Feuerwehrmitgliedes?;Feuerwehrhelm, Schutzjacke, Schutzhose, Feuerwehrschutzhandschuhe, Feuerwehrstiefel;Feuerwehrhelm, Schutzjacke, Schutzsocken, Feuerwehrschutzhandschuhe, Feuerwehrstiefel;Schutzjacke, Schutzhose, Feuerwehrschutzhandschuhe, Radhelm, Feuerwehrstiefel
 7. Nenne die Voraussetzungen zum Lenken einesFeuerwehrfahrzeuges!; Gültige Lenkberechtigung der entsprechenden Fahrzeugklasse, Fahrtauglichkeit, Fahrberechtigung, Fahrerlaubnis (Fahrauftrag);Behördlichen Führerschein;Nur eine Feuerwehrinterne Ausbildung ist notwendig
 8. Wie muss kontaminiertes Bindemittel entsorgt werden?;Das kontaminierte Bindemittel ist einer fachgerechten Entsorgung zuzuführen.;Das kontaminierte Bindemittel ist in den Restmüll zu werfen.;Das kontaminierte Bindemittel ist zu verbrennen.
 9. Wodurch kann Kohlenstoffmonoxid (CO) entstehen?;Es entsteht bei einer unvollständigen Verbrennung (Schwelbrände oder Brände mit Sauerstoffmangel);Es entsteht bei einer gewarteten Therme ;Es entsteht am Dachboden
 10. Welchen Durchmesser kann ein A-Schlauch haben?;110 mm bzw. 125 mm;13,5 cm - 15 cm ;75 mm - 100 mm
 11. Wer ist bei der Freiwilligen Feuerwehr aktiv wahlberechtigt?;Alle Feuerwehrmitglieder, welche das 15. Lebensjahr vollendet haben;Alle Feuerwehrmitglieder, welche im aktiven Dienst sind;Alle Feuerwehrmitglieder, welche das 16. Lebensjahr vollendet haben
 12. Ist Erdgas leichter als Luft?;Ja;Nur bei Temeraturen über 10°C;Nein
 13. Wie weit muss auf Freilandstraßen abgesichert werden?;150 m – 250 m;250 m - 400 m;50 m - 100m
 14. Welche Informationen benötigt die Feuerwehr bei der Ankunft?; Wo brennt es? Wird jemand vermisst  Besondere Gefahren? Alternative Angriffswege?;Wieso brennt es? Woher kommen die Baumaterialen? Wie groß sind die Flammen? Wie warm ist das Feuer?; Wo brennt es? Wird jemand vermisst  Besondere Gefahren? Alternative Angriffswege? Wie groß sind die Flammen?
 15. Welches zusätzliche Zeichen kann bei dem Kommando „Alle Mann – zurück“ durch den Maschinisten abgegeben werden?;Betätigen der Fahrzeughupe (Dauerton);Einschalten des Martinhorns;Einschalten der nächstgelegenen Sirene
 16. Durch welches Dreieck kann eine Verbrennung grafisch dargestellt werden?;Verbrennungsdreieck;Verbrennungskreis;Feuerdreieck
 17. Nenne den Funkrufnamen des zweiten Handfunkgerätes in der Feuerwehr?;Berta;Anton;Cäser
 18. Was ist am Einsatzende nach dem Einrücken ins Feuerwehrhaus zu tun?;Einsatzbereitschaft herstellen;Feuerwehrauto reinigen;Eine Nachbesprechung
 19. Wie werden Schläuche bei der Feuerwehr grundsätzlicheingeteilt?;Druck- und Saugschläuche;Druck- und Blasschlauch;Gibt keine Einteilung
 20. Wozu dient eine Winkerkelle?;Sie dient zur Verkehrsregelung;Sie dient zum Verkehrleiten;Sie dient zum Winken an Bekannte
 21. Welche Brandklassen gibt es?;A, B, C, D, F;A, B, C, D, E;A, B, C, E, F
 22. Wo treten vermehrt Gärgas- und Faulgasunfälle auf?;Wein- und Mostkeller, Silos;Dachböden;Wohnbereiche
 23. Nenne die Verhaltensregeln beim Einsatzeines tragbaren Feuerlöschers:;Mit Windrichtung angreifen, von vorne nach hinten und von unten nach oben löschen, mehrere Feuerlöscher gleichzeitig einsetzen, Wiederentzündung möglich – auf tote Winkel achten, gebrauchte tragbare Feuerlöscher neu füllen lassen;Mit Windrichtung angreifen, von vorne nach hinten und von oben nach unten löschen, Feuerlöscher einzeln einsetzen, Wiederentzündung möglich – auf tote Winkel achten, gebrauchte tragbare Feuerlöscher neu füllen lassen;Gegen die Windrichtung angreifen, von vorne nach hinten und von unten nach oben löschen, mehrere Feuerlöscher gleichzeitig einsetzen, Wiederentzündung möglich – auf tote Winkel achten, gebrauchte tragbare Feuerlöscher neu füllen lassen
 24. Wer darf in deiner Feuerwehr Funkgeräte bedienen?;Nur ausgebildete Funker;Jedes Feuerwehrmitglied;Nur aktive Feuerwehrmitglieder
 25. Welche Verhaltensregeln sollten grundsätzlich bei einem Verkehrsunfall immer eingehalten werden?;Notruf absetzen, Absichern der Unfallstelle, Auslaufende Betriebsmittel beachten und wenn möglich eindämmen, Verletzte betreuen bzw. Erste Hilfe leisten (Infektionsschutz beachten);Notruf absetzen, Auslaufende Betriebsmittel beachten und wenn möglich eindämmen, keine Erste Hilfe leisten (man könnte sich Infektizieren);Weiterfahren
 26. Welche Arten von Schaum gibt es?;Leichtschaum, Mittelschaum, Schwerschaum;Weißschaum, Grauschaum, Schwarzschaum;Schaum 1, Schaum 2, Schaum3
 27. Wie können Wiederholungen beim Funken gefordert werden?;Wiederholen, kommen.;Nochmal bitte, kommen;Wiederholen, Ende.
 28. Welche Kleinlöschgeräte gibt es?;Feuerpatsche, Kübelspritze, Löschdecke, Tragbarer Feuerlöscher;Feuerpatsche, Kübelspritze, B-Mehrzweckstrahlrohr, Tragbarer Feuerlöscher;Feuerpatsche, Schnellangriffsvorrichtung, Löschdecke, Tragbarer Feuerlöscher
 29. Wie wird die Bekleidung bei der Feuerwehr unterteilt?;Dienstbekleidung und Einsatzbekleidung;Bekleidung 1, Bekleidung 2,;Zivilbekleidung, Dienstbekleidung und Einsatzbekleidung
 30. Wo befindet sich der Sammelplatz bei dem Kommando „Alle Mann – zurück“?;Beim jeweiligen Fahrzeug, mit dem man ausgerückt ist;Bei der Einsatzleitung;Bei seinem Kommandanten
 31. Welches Löschmittel verwendest du bei der Brandklasse „D“?;Metallbrandpulver;Fettbrandpulver;Wasser
 32. Wie werden beim Funken Fehler bei der Durchgabe von Nachrichten korrigiert?;Ich berichtige…;Ich korrigire;Entschuldigung, 
 33. Wozu dient ein B-Mehrzweckstrahlrohr?;Zur Brandbekämpfung bei Bränden mit großer Brandbelastung;Zur Brandbekämpfung bei Bränden mit kleiner Brandbelastung;Zur Brandbekämpfung bei kleinst Bränden
 34. Ist Flüssiggas schwerer als Luft?;Ja;Nur bei Temeraturen über 10°C;Nein
 35. Um welche Brandklasse handelt es sich bei festen Stoffen?;Brandklasse A;Brandklasse B;Brandklasse C
 36. Wozu dienen Druckschläuche?;Druckschläuche dienen zur Förderung von Löschwasser;Druckschläuche dienen zum Ansaugen von Löschwasser;Druckschläuche dienen zur Förderung von Trinkwasser
 37. Für welche Brandklasse kann Wasser als Löschmittel verwendet werden?;Brandklasse A;Brandklasse F;Brandklasse C
 38. Wann dürfen laufende Funkgespräche unterbrochenwerden?;Bei Gefahr in Verzug;Immer;Nur wenn ich einen höheren Dienstgrad als der andere Funker habe
 39. Nenne das richtige Verhalten bei Gasgeruch!;Räume lüften, keine offenen Flammen, keine Funken ziehen, nicht telefonieren, keine Schalter betätigen, Gaszufuhr unterbrechen, Nachbarn warnen, Gefahrenbereich verlassen, Gasnotruf 128 anrufen;Räume lüften, keine offenen Flammen, keine Funken ziehen, nicht telefonieren, keine Schalter betätigen, Gaszufuhr unterbrechen, Nachbarn warnen, Gefahrenbereich verlassen, Gasnotruf 133 anrufen;Räume lüften, eine Zigarete rauchen, keine Funken ziehen, nicht telefonieren, keine Schalter betätigen, Gaszufuhr unterbrechen, Nachbarn warnen, Gefahrenbereich verlassen, Gasnotruf 128 anrufen
 40. Nenne die wichtigsten Regeln zur Unfallverhütung!;Trage die vorgeschriebene persönliche Schutzausrüstung, Sicherheit geht immer vor Schnelligkeit, Achte immer auf eine ausreichende Sicherung, Beachte die Gefahrenbereiche;Trage die vorgeschriebene persönliche Schutzausrüstung, Schnelligkeit geht immer vor Sicherheit , Achte immer auf eine ausreichende Sicherung, Beachte die Gefahrenbereiche;Trage die vorgeschriebene persönliche Schutzausrüstung, Schnelligkeit geht immer vor Sicherheit , Achte meistens auf eine ausreichende Sicherung, Beachte die Gefahrenbereiche
